Tag,Question,Responses
James,Do you like James Bond movies?,"Yeah, those are classics.-What's your favorite Bond film?-I liked Goldeneye alot.-Who played that Bond again?-Pierce Brosnan played Bond in that one.-Oh, it's hard to keep track of all the Bonds.-I know they always seem to be changing.-I think Daniel Craig is the most recent Bond.-Casino Royale was a great movie."
Which,Which do you think was better out of these two movies?,The first or second John Wick movies?-I honestly preferred the second John Wick movie.-I did as well.-The mannerisms Keanu Reeves had in the second John Wick movie were really odd.-Yeah and so was the story line in some ways.-I feel like the second one should of been the prequel.-Indeed.-The second John Wick movie felt like it needed to end on a cliffhanger to have another sequel just to do well.-I still liked the soundtrack score for both movies.-The soundtrack for this action movies was one of the better ones for sure.-It reminded me of some of the video games that become movies like Max Payne.-What did you think of the action movie Max Payne?-I liked it a lot but it left me wanting sequels.
Hi,Hi.,Hey there.-Do you like the action movie genre?-I like it alright I guess.-What was the last action movie that you saw?-I saw the avengers civil war.-Did you like it?-Yeah I thought it was decent.-I haven't seen it yet.-It's pretty solid.
What,What is your favorite action movie?,"I really like Gladiator.-Braveheart will probably come second.-Gladiator is one of my favorites too.-It was just a well-done movie from the beginning to end.-I still get teary-eyed when I saw the last scene of Maximus' friend burying Maxmimus' small carvings of his family.-One action movie that I love that doesn't get enough credit is Conan the Barbarian.-Conan the Barbarian?-Is that the movie with NBA Basketball player Wilt Chamberlain?-No, that was the sequel to Conan the Barbarian.-The name was Conan the Destroyer.-Conan the Destroyer was absolutely awful.-James Earl Jones did a great job portraying the villain Thusla Doom in Conan the Barbarian.-He made the movie for me.-The actions scenes in the movie were great too.-Arnold Schwarzenegger was in his prime then."
What,What would you consider an iconic action movie or series?,"I have really enjoyed the Die Hard series.-They weren't all stellar, but when they hit, they were really enjoyable.-The first one was such a classic.-I didn't watch Bruce Willlis much on that TV show he did, but I really thought he made a great transition to films with Die Hard.-I loved how the filmmakers weren't afraid to blow a ton of shit up, and they ended up basically destroying the entire bulding by the end.-I've watched the film many times, and it's amazing how beat up John gets over the course of the film, but he keeps on fighting, and he's really believable.-I agree with you there.-John was a really credible, realistic hero, and you could feel his pain and frustration and determination to get the bad guy.-And what a great bad guy!-I love that he was urbane and witty and cultured and in the end, all he wanted was a shitload of money.-That movie really stands the test of time, too.-The fight sequences were epic.-Guns, fights, lots of action, the hero reuniting with his estranged wife, the cop sidekick, the wisecracking FBI guys.-A great movie all around.-I think Bruce Willis really eanred his rep as an action hero in this and subsequent movies."
Ones,"I cannot stand some directors
Like who
Ones that ruin franchises
What franchise was ruined
Transformers
How was it ruined
Michael bay turned it into explosions the movie
But they are cool
Not it is lame
Whatever you say",
Die,What do you think of the Die Hard franchise.,"The Christmas movies?-What?-No, the action films.-Yes, but they are Chritmas movies as well.-No, they are action.-Police and guns and terror.-All set at Christmas time.-An action Christmas movie.-The first one did happen during an office Christmas party.-Yes, and the second one, Christmas time as well.-Well, did you like them.-All I can say is, they are my favorite Christmas action films."
Hi,Hi.,"Hey.-You like action movies?-Sure do.-Cool me too.-Do you have one you like the best?-I really love lethal weapon.-Oh nice, that is a classic.-The old buddy cop action movies are my favorite.-I love those."
Thats,"I love all the taken movies
Me too
""I dont know who you are...""
Thats classic
They were so good
They were, they need to make more of those
I would watch them
Same here
I own them all
I want to buy them",
Jason,How many Jason Bourne movies have they made?,"Four I think.-The whole franchise has kind of run together at this point.-I'd agree.-Seems like they are out of ideas as he can only run from the government so much.-And Matt Damon ain't getting younger.-He must be at least 40 now.-The age doesn't bother me, but I just don't think there's much more of a story to tell.-The last movie was a bit of a drag.-Yeah, felt like a 'been there, done that' type of thing.-At least you get to see a lot of worldly locations in the films.-Very true - haven't seen them in Utah yet."
James,Who's your favorite James Bond?,"Sean Connery, without a doubt!-Mine too, but Roger Moore was pretty good.-I think he did more Bond films than the rest of them put together.-Who's next in line?-Well Craig has been doing it...-He's gotta be about ready to give it up.-I thought I read that he was done after Spectre.-They'll probable offer him a ton of money.-I'll bet!"
Da,I just saw The Da Vinci Code.,"Based on the Dan Brown novel?-Yes.-Who's the French girl in that?-Audrey Tautou, from Amelie.-Right, with the ever cool Tom Hanks.-Yes, directed by Opie himself, Ron Howard.-What was the weird religiou group?-Opus Dei.-Right, I think there is a real group by that name."
Tom,Have you seen that new movie with Tom Cruise?,"I don't think I have, whats it called?-The Edge of Tomorrow.-Oh, I have actually heard of that.-Is it any good?-Yes, I loved it.-A lot of action.-What is it about?-Basically machines from an alien planet are taking over the world and they can predict all human movements.-Wow, that really sounds intense.-Yep, I highly recommend watching it.-I will have to check it out sometime."
The,"Were you a big fan of The Matrix
I liked the first one, but the other ones were pretty bad
Yeah, the first one was really new and fresh
Had a lot of cool special effects
Not sure if I ever followed the actual story line
Right, when you strip out all the action and effects, the story line is pretty lame
Something about red and blue pills
Well there's that and how the world isn't what it seems
Yeah, pretty weird
Too sci fi for my taste",
Have,Have you ever seen any action movies from the 70s?,"I saw The French Connection.-I think I've heard of it.-Who is in that?-Gene Hackman stars and Roy Scheider costars.-Would you recommend it?-Absolutely.-The chase scenes are very well done and the acting was top notch.-I've heard about the chase scene that's supposed to be one of the best ever.-Yeah, it is as good as they say in my opinion.-What did you think of Gene Hackman?-He was fantastic, as always."
Jurassic,What do you think of the Jurassic Park sequels?,"Lost World was okay.-What did you think of the third?-It's underrated.-It's pretty entertaining, I think.-I just don't like that Tea Leoni is in it; I don't like her.-Me neither.-Jurassic World was a lot of fun to watch but doesn't stand up over time.-Really?-Yeah, I own it, and watched it twice, but not in over a year.-Why?-Too unbelievable, bad parenting like crazy."
Matrix,What did you think of the final Matrix movie?,"Revolutions?-Yup, that one.-It was too preachy.-I think it would have been fine if they didn't rush it.-What do you mean?-Remember, parts 2 and 3 came out in May and November of the same year?-That explains the crap CGI.-The script, too, it was awful.-Could have been less obvious with the Jesus reference, too."
